geo_point_2d;geo_shape;type_jard;nom_ev;adresse;arrdt;nom_gerant;adr_gerant;charte
48.8571745884, 2.39559513971;"{""type"": ""Point"", ""coordinates"": [2.395595139708859, 48.857174588368274]}";Jardin potagé;Cité Aubry;2bis cité Aubry;20;;;
48.8551148819, 2.40755055145;"{""type"": ""Point"", ""coordinates"": [2.407550551445168, 48.85511488189862]}";Jardin potagé;Rue Mouraud;Rue Mouraud;20;;;
48.8298823586, 2.34496709905;"{""type"": ""Point"", ""coordinates"": [2.344967099052301, 48.82988235858948]}";Jardin pédagogique;Mail de Bièvre;105/109 boulevard Auguste Blanqui;13;;;
48.9000885592, 2.33040080198;"{""type"": ""Point"", ""coordinates"": [2.330400801981825, 48.90008855922547]}";Jardin pédagogique;Square de la rue Henri Huchard;32 avenue de la Porte de Saint-Ouen;18;;;
48.8637765055, 2.38953246645;"{""type"": ""Point"", ""coordinates"": [2.389532466447492, 48.863776505545786]}";Jardin pédagogique;Square Grynberg;8 rue des Amandiers;20;;;
48.8765702043, 2.3952157397;"{""type"": ""Point"", ""coordinates"": [2.39521573969637, 48.87657020425215]}";Jardin partagé;Henri Ribière;3 rue Henri Ribière;19;Amicale des locataires;3 rue Henri Ribière;Charte Main Verte
48.8713546524, 2.37997945865;"{""type"": ""Point"", ""coordinates"": [2.379979458651036, 48.87135465237462]}";Jardin partagé;23-25 rue Ramponeau;23-25 rue Ramponeau;20;;;Charte Main Verte
48.8573783925, 2.34722103378;"{""type"": ""Point"", ""coordinates"": [2.347221033784696, 48.857378392456816]}";Jardin partagé;Les jardins du chatelet;18 rue du chatelet;1;Les jardins du chatelet-Cultures, partages et herbes folles à Sainte-Marthe;14 rue du chatelet, 75010 Paris;Charte Main Verte
48.8266983003, 2.33720195509;"{""type"": ""Point"", ""coordinates"": [2.337201955093029, 48.82669830031102]}";Jardin partagé;Jardin de l'Aqueduc;Rue de l'Empereur Valentinien;14;Les jardiniers de l'aqueduc;;Charte Main Verte
48.8379204055, 2.40636046921;"{""type"": ""Point"", ""coordinates"": [2.406360469213192, 48.83792040549983]}";Jardin partagé;Bel-Air;Square Charles Péguy / Rue Rottembourg;12;Graine de partage;;Charte Main Verte
48.834294146, 2.35672229275;"{""type"": ""Point"", ""coordinates"": [2.356722292748287, 48.83429414599353]}";Jardin partagé;Jardins Familiaux du boulevard de l'Hôpital;122 boulevard de l'Hôpital / rue Watteau;13;F.N. des Jardins familliaux et collectifs;12 rue Felix Faure, 75015 Paris;Charte Main Verte
48.8760799982, 2.40219756326;"{""type"": ""Point"", ""coordinates"": [2.402197563263654, 48.87607999824012]}";Jardin partagé;L'Ilot Lilas;295 rue de Belleville;19;L'Ilot Lilas;118 rue Haxo, 75019 Paris;Charte Main Verte
48.8542139607, 2.40124792148;"{""type"": ""Point"", ""coordinates"": [2.40124792148367, 48.854213960671856]}";Jardin partagé;Les Haies Partagées ¿ jardin Casque d¿Or;Jardin Casque d'Or / 39 rue des Haies / rue Michel de Bourges;20;Ass. du Jardin Partagé Casque d'Or;83 rue de Buzenval,75020 Paris;Charte Main Verte
48.85767488, 2.4066093349;"{""type"": ""Point"", ""coordinates"": [2.406609334902714, 48.85767488002612]}";Jardin partagé;Le 56;56 rue Saint Blaise;20;Atelier d'Architecture Autogérée;15 rue Marc Séguin, 75018 Paris;Charte Main Verte
48.8651838711, 2.3929961821;"{""type"": ""Point"", ""coordinates"": [2.392996182097118, 48.86518387107183]}";Jardin partagé;Papilles et Papillons;3/5 rue Gasnier Guy;20;Régie de quartier - les Amandines;30 rue des Partants, 75020 Paris;Charte Main Verte
48.887279867, 2.35904300367;"{""type"": ""Point"", ""coordinates"": [2.359043003667019, 48.887279867021455]}";Jardin partagé;Le Bois Dormoy;2bis cité de la Chapelle;18;Le Bois Dormoy;43 rue Marx Dormoy 75018e;Charte Main Verte
